,id,type,PlanArea,Longitude,Latitude,YearBuilt,NumberOfStories,RoofShape,DWSII,BuildingType,OccupancyClass,MeanRoofHt,RoofSlope,geometry
153,,,,,,,,Flat,167,Wood,RES3,,1.05,
154,,,,,,,,Flat,167,Wood,RES3,,1.05,
155,,,,,,,,Flat,167,Wood,RES3,,1.05,
156,,,,,,,,Flat,167,Wood,RES3,,1.05,
157,,,,,,,,Flat,167,Wood,RES3,,1.05,
158,,,,,,,,Flat,167,Wood,RES3,,1.05,
159,,,,,,,,Flat,167,Wood,RES3,,1.05,
160,,,,,,,,Flat,167,Wood,RES3,,1.05,
161,,,,,,,,Flat,167,Wood,RES3,,1.05,
162,,,,,,,,Flat,167,Wood,RES3,,1.05,
163,,,,,,,,Flat,167,Wood,RES3,,1.05,
164,,,,,,,,Flat,167,Wood,RES3,,1.05,
165,,,,,,,,Flat,167,Wood,RES3,,1.05,
166,,,,,,,,Flat,167,Wood,RES3,,1.05,
167,,,,,,,,Flat,167,Wood,RES3,,1.05,
168,,,,,,,,Flat,167,Wood,RES3,,1.05,
169,,,,,,,,Flat,167,Wood,RES3,,1.05,
170,,,,,,,,Flat,167,Wood,RES3,,1.05,
171,,,,,,,,Flat,167,Wood,RES3,,1.05,
172,,,,,,,,Flat,167,Wood,RES3,,1.05,
173,,,,,,,,Flat,167,Wood,RES3,,1.05,
174,,,,,,,,Flat,167,Wood,RES3,,1.05,
175,,,,,,,,Flat,167,Wood,RES3,,1.05,
176,,,,,,,,Flat,167,Wood,RES3,,1.05,
177,,,,,,,,Flat,167,Wood,RES3,,1.05,
178,,,,,,,,Flat,167,Wood,RES3,,1.05,
179,,,,,,,,Flat,167,Wood,RES3,,1.05,
180,,,,,,,,Flat,167,Wood,RES3,,1.05,
181,,,,,,,,Flat,167,Wood,RES3,,1.05,
182,,,,,,,,Flat,167,Wood,RES3,,1.05,
183,,,,,,,,Flat,167,Wood,RES3,,1.05,
184,,,,,,,,Flat,167,Wood,RES3,,1.05,
185,,,,,,,,Flat,167,Wood,RES3,,1.05,
186,,,,,,,,Flat,167,Wood,RES3,,1.05,
187,,,,,,,,Flat,167,Wood,RES3,,1.05,
188,,,,,,,,Flat,167,Wood,RES3,,1.05,
189,,,,,,,,Flat,167,Wood,RES3,,1.05,
190,,,,,,,,Flat,167,Wood,RES3,,1.05,
191,,,,,,,,Flat,167,Wood,RES3,,1.05,
192,,,,,,,,Flat,167,Wood,RES3,,1.05,
193,,,,,,,,Flat,167,Wood,RES3,,1.05,
194,,,,,,,,Flat,167,Wood,RES3,,1.05,
195,,,,,,,,Flat,167,Wood,RES3,,1.05,
196,,,,,,,,Flat,167,Wood,RES3,,1.05,
197,,,,,,,,Flat,167,Wood,RES3,,1.05,
198,,,,,,,,Flat,167,Wood,RES3,,1.05,
199,,,,,,,,Flat,167,Wood,RES3,,1.05,
200,,,,,,,,Flat,167,Wood,RES3,,1.05,
201,,,,,,,,Flat,167,Wood,RES3,,1.05,
202,,,,,,,,Flat,167,Wood,RES3,,1.05,
203,,,,,,,,Flat,167,Wood,RES3,,1.05,
204,,,,,,,,Flat,167,Wood,RES3,,1.05,
205,,,,,,,,Flat,167,Wood,RES3,,1.05,
206,,,,,,,,Flat,167,Wood,RES3,,1.05,
207,,,,,,,,Flat,167,Wood,RES3,,1.05,
208,,,,,,,,Flat,167,Wood,RES3,,1.05,
209,,,,,,,,Flat,167,Wood,RES3,,1.05,
210,,,,,,,,Flat,167,Wood,RES3,,1.05,
211,,,,,,,,Flat,167,Wood,RES3,,1.05,
212,,,,,,,,Flat,167,Wood,RES3,,1.05,
213,,,,,,,,Flat,167,Wood,RES3,,1.05,
214,,,,,,,,Flat,167,Wood,RES3,,1.05,
215,,,,,,,,Flat,167,Wood,RES3,,1.05,
216,,,,,,,,Flat,167,Wood,RES3,,1.05,
217,,,,,,,,Flat,167,Wood,RES3,,1.05,
218,,,,,,,,Flat,167,Wood,RES3,,1.05,
219,,,,,,,,Flat,167,Wood,RES3,,1.05,
220,,,,,,,,Flat,167,Wood,RES3,,1.05,
221,,,,,,,,Flat,167,Wood,RES3,,1.05,
222,,,,,,,,Flat,167,Wood,RES3,,1.05,
223,,,,,,,,Flat,167,Wood,RES3,,1.05,
224,,,,,,,,Flat,167,Wood,RES3,,1.05,
225,,,,,,,,Flat,167,Wood,RES3,,1.05,
226,,,,,,,,Flat,167,Wood,RES3,,1.05,
227,,,,,,,,Flat,167,Wood,RES3,,1.05,
228,,,,,,,,Flat,167,Wood,RES3,,1.05,
229,,,,,,,,Flat,167,Wood,RES3,,1.05,
230,,,,,,,,Flat,167,Wood,RES3,,1.05,
231,,,,,,,,Flat,167,Wood,RES3,,1.05,
232,,,,,,,,Flat,167,Wood,RES3,,1.05,
233,,,,,,,,Flat,167,Wood,RES3,,1.05,
234,,,,,,,,Flat,167,Wood,RES3,,1.05,
235,,,,,,,,Flat,167,Wood,RES3,,1.05,
236,,,,,,,,Flat,167,Wood,RES3,,1.05,
237,,,,,,,,Flat,167,Wood,RES3,,1.05,
238,,,,,,,,Flat,167,Wood,RES3,,1.05,
239,,,,,,,,Flat,167,Wood,RES3,,1.05,
240,,,,,,,,Flat,167,Wood,RES3,,1.05,
241,,,,,,,,Flat,167,Wood,RES3,,1.05,
242,,,,,,,,Flat,167,Wood,RES3,,1.05,
243,,,,,,,,Flat,167,Wood,RES3,,1.05,
244,,,,,,,,Flat,167,Wood,RES3,,1.05,
245,,,,,,,,Flat,167,Wood,RES3,,1.05,
246,,,,,,,,Flat,167,Wood,RES3,,1.05,
247,,,,,,,,Flat,167,Wood,RES3,,1.05,
248,,,,,,,,Flat,167,Wood,RES3,,1.05,
249,,,,,,,,Flat,167,Wood,RES3,,1.05,
250,,,,,,,,Flat,167,Wood,RES3,,1.05,
251,,,,,,,,Flat,167,Wood,RES3,,1.05,
252,,,,,,,,Flat,167,Wood,RES3,,1.05,
253,,,,,,,,Flat,167,Wood,RES3,,1.05,
254,,,,,,,,Flat,167,Wood,RES3,,1.05,
255,,,,,,,,Flat,167,Wood,RES3,,1.05,
256,,,,,,,,Flat,167,Wood,RES3,,1.05,
257,,,,,,,,Flat,167,Wood,RES3,,1.05,
258,,,,,,,,Flat,167,Wood,RES3,,1.05,
259,,,,,,,,Flat,167,Wood,RES3,,1.05,
260,,,,,,,,Flat,167,Wood,RES3,,1.05,
